CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,Sample Name,Whole Exome Sequencing (WES),Copy Number Alterations (CNA),Gene Expression,Methylation,"DrugResponse","GDSCTissue descriptor 1","GDSCTissuedescriptor 2","Cancer Type(matching TCGA label)","Microsatellite instability Status (MSI)",Screen Medium,Growth Properties,Drug Name,Synonyms,Target,Target Pathway
OC-314,909257,225,225_909257,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.043257989,1.007252243,0.968698546,0.96307294,0.966718885,0.967975905,0.896481254,0.209521281,0.185290602,OC-314,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,R,Adherent,Genentech Cpd 10,-,"AURKA, AURKB",Mitosis
OC-314,909257,269,269_909257,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.966554453,1.002028592,0.987976122,1.030967736,0.993374334,0.642977551,0.071645846,0.022449543,0.00407778,OC-314,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,R,Adherent,NSC-207895,"XI-006, NSC207895",MDM4,p53 pathway
OC-314,909257,291,291_909257,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.989769105,0.957361496,0.988681715,0.972724824,0.807182565,0.1558412009999999,0.016839027,0.008751721,0.003399916,OC-314,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,R,Adherent,KIN001-266,-,MAP3K8,"Other, kinases"
ESO26,1503366,219,219_1503366,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.976630295,0.994375256,0.907426144,0.668105207,0.166151653,0.18540871,0.17790095,0.184143438,0.177687675,ESO26,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,AT-7519,AT7519,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle
A427,910851,170,170_910851,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.954139647,0.57184125,0.045466899,0.067273589,0.053052414,0.052271225,0.038462837,0.025746336,0.02092605,A427,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent,Shikonin,Anchusin,not defined,Other
A427,910851,204,204_910851,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.010858158,0.878425173,0.408529374,0.30773173,0.505938474,0.318422505,0.146680125,0.070403418,0.071764201,A427,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent,Tipifarnib,Zarnestra,Farnesyl-transferase (FNTA),Other
KMS-12-BM,907281,9,9_907281,1.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.020776072,1.045111451,1.023873573,1.040747652,0.984892639,1.009760485,0.997596174,0.115751886,0.08306596,KMS-12-BM,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,MG-132,"LLL cpd, MG 132, MG132","Proteasome, CAPN1",Protein stability and degradation
KMS-12-BM,907281,173,173_907281,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9926953000000002,1.00110286,0.964535742,0.950286394,0.896111908,0.744624328,0.361073359,0.060776554,0.014463394,KMS-12-BM,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,FH535,-,"PPARgamma, PPARdelta",WNT signaling
KMS-12-BM,907281,86,86_907281,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.023177757,0.994030008,0.970486439,0.907941073,0.842796894,0.6188532379999999,0.2009110989999999,0.026772353,0.021925071,KMS-12-BM,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,A-443654,KIN001-139,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
KMS-12-BM,907281,194,194_907281,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.015794199,1.01882837,1.015434212,0.992867648,1.000011781,0.80405128,0.149171991,0.112115626,0.111487387,KMS-12-BM,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,Luminespib,"AUY922, VER-52296,NVP-AUY922,  AUY",HSP90,Protein stability and degradation
SR,905965,53,53_905965,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.986807615,1.016445049,0.969166192,0.944129237,0.781970759,0.244982897,0.009268118,0.004195542,0.014188595,SR,Y,Y,Y,Y,Y,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,R,Suspension,CGP-60474,"KIN001-019, CGP60474, CGP 60474","CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle
KMS-12-BM,907281,163,163_907281,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.968138206,0.930584168,0.918439907,0.691007983,0.368530997,0.18927033,0.134822714,0.113163802,0.117981195,KMS-12-BM,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,JQ1,"JQ-1, (+)-JQ-1","BRD2, BRD3, BRD4, BRDT",Chromatin other
TOV-21G,1240222,225,225_1240222,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.018624419,0.8025804759999999,1.062073206,1.130864152,1.4001601890000002,1.189663657,0.3703553029999999,0.107155824,0.068990044,TOV-21G,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,D/F12,Adherent,Genentech Cpd 10,-,"AURKA, AURKB",Mitosis
TOV-21G,1240222,136,136_1240222,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.993547828,0.99885429,0.954966164,0.952825422,0.6886752190000001,0.365941622,0.098777981,0.030776497,0.028877358,TOV-21G,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,D/F12,Adherent,Mitomycin-C,"Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex",DNA crosslinker,DNA replication
SK-N-FI,688087,276,276_688087,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.048287467,1.054504822,0.987262058,0.960555325,0.86050801,0.489776289,0.238410988,0.07183665,0.029269981,SK-N-FI,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,CAY10603,-,"HDAC1, HDAC6",Chromatin histone acetylation
CMK,910566,157,157_910566,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.0000836990000002,0.999703271,1.070799948,0.8729533629999999,0.804182593,0.300250462,0.200303866,0.0543062329999999,0.051566189,CMK,Y,Y,Y,N,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,JNK-9L,"KIN001-204, JNK inhibitor 9l","JNK2, JNK3",JNK and p38 signaling
CMK,910566,201,201_910566,0.032,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.001598456,0.914128064,0.795840413,0.521616698,0.400830241,0.286789749,0.148974088,0.110360229,0.096000205,CMK,Y,Y,Y,N,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,Epothilone B,"Patupilone, EpoB, EPO906, GNF-PF-193",Microtubule stabiliser,Mitosis
CMK,910566,176,176_910566,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.025393907,1.008977236,0.981198298,0.948811172,0.768410334,0.334924223,0.071425905,0.048125347,0.013782986,CMK,Y,Y,Y,N,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,IPA-3,IPA 3,PAK1,Cytoskeleton
CMK,910566,300,300_910566,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.982148724,0.8082039870000001,0.701385658,0.511180679,0.289038313,0.128075207,0.096152345,0.062615079,0.0336180639999999,CMK,Y,Y,Y,N,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,CX-5461,"CX5461, CX 5461",RNA Polymerase 1,Other
CMK,910566,180,180_910566,0.512,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.963345625,1.328426911,1.245844607,0.893581872,0.5199332489999999,0.318702265,0.149189083,0.083205992,0.040344973,CMK,Y,Y,Y,N,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,Thapsigargin,Octanoic acid,SERCA,Other
CHSA0011,1290767,308,308_1290767,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.035325635,0.962495469,0.921834542,0.896728427,0.900285078,0.737014161,0.6781464309999999,0.1101434509999999,0.109542805,CHSA0011,Y,Y,Y,N,Y,bone,chondrosarcoma,,,R,Adherent,WIKI4,"WIKI-4, WIKI 4","TNKS1, TNKS2",WNT signaling
BB65-RCC,753533,276,276_753533,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.003024701,0.982866954,0.996225885,0.806749653,0.546379721,0.221656451,0.071866862,0.0217795129999999,0.020148127,BB65-RCC,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,CAY10603,-,"HDAC1, HDAC6",Chromatin histone acetylation
BB65-RCC,753533,272,272_753533,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.965504459,0.967998455,0.873073495,0.85040529,0.6951371409999999,0.377759225,0.230112992,0.102441777,0.067706909,BB65-RCC,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,AR-42,"HDAC-42, AR 42, AR42",HDAC1,Chromatin histone acetylation
BB65-RCC,753533,308,308_753533,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.02945927,1.043937024,1.083379144,1.041615969,1.022385506,0.8970154,0.377595392,0.009126066,0.003905669,BB65-RCC,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,WIKI4,"WIKI-4, WIKI 4","TNKS1, TNKS2",WNT signaling
NB69,908440,274,274_908440,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.00184516,0.916575904,0.817722662,0.277997819,0.049099156,0.0456292909999999,0.037735151,0.018326655,0.019322901,NB69,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,Belinostat,"PXD101, PXD-101",HDAC1,Chromatin histone acetylation
NB69,908440,308,308_908440,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.974027585,1.04911126,0.841433124,0.526514114,0.258000699,0.195343214,0.129594512,0.019515689,0.004438169,NB69,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,WIKI4,"WIKI-4, WIKI 4","TNKS1, TNKS2",WNT signaling
NB69,908440,41,41_908440,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.003936992,0.947824351,0.98799614,0.960853292,0.914675684,0.8091515340000001,0.22428884,0.18669064,0.171928086,NB69,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,S-Trityl-L-cysteine,"NSC 83265, Tritylcysteine",KIF11,Mitosis
NB69,908440,87,87_908440,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.044822759,1.052781519,1.029705549,1.031588492,1.016825937,0.976959806,0.200587555,0.162926357,0.178764546,NB69,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,GW843682X,GW843682X (AN-13),PLK1,Cell cycle
NB69,908440,273,273_908440,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.001718341,1.121986953,0.906627824,0.905904826,0.864394571,0.397445377,0.078287076,0.045709043,0.031186336,NB69,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,CUDC-101,CUDC 101,"HDAC1-10, EGFR, ERBB2",Other
HCE-4,753559,165,165_753559,4000.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.015315967,0.8871075490000001,0.970488133,1.109749001,0.924442273,0.48804644,0.254699901,0.054294173,0.010057306,HCE-4,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,DMOG,Dimethyloxalylglcine,HIF-PH,Metabolism
HCE-4,753559,60,60_753559,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9582468,0.937113545,0.929519253,0.870203305,1.239175259,0.4491073479999999,0.066988719,0.049875577,0.0474447329999999,HCE-4,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,BI-2536,-,"PLK1, PLK2, PLK3",Cell cycle
HCE-4,753559,87,87_753559,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.046957521,0.984791618,1.049877887,0.931125286,0.405767913,0.110921615,0.069697853,0.043075919,0.0613458079999999,HCE-4,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,GW843682X,GW843682X (AN-13),PLK1,Cell cycle
HuH-7,907071,157,157_907071,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.048578048,1.020436747,0.979517616,0.995615033,0.788602073,0.131456229,0.099427487,0.068213491,0.071346786,HuH-7,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,JNK-9L,"KIN001-204, JNK inhibitor 9l","JNK2, JNK3",JNK and p38 signaling
HuH-7,907071,273,273_907071,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.951705149,0.976378397,0.8186081559999999,0.750739072,0.820220725,0.12489657,0.064214387,0.062393807,0.035877079,HuH-7,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,CUDC-101,CUDC 101,"HDAC1-10, EGFR, ERBB2",Other
NCI-H82,688031,200,200_688031,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.042990432,1.066615912,1.004068728,0.927023108,0.684557366,0.1729244539999999,0.089742776,0.06651763,0.059910675,NCI-H82,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Dacinostat,"NVP-LAQ824, LAQ824",HDAC1,Chromatin histone acetylation
BC-3,910918,257,257_910918,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.010113279,1.037637162,0.929972582,0.7955968809999999,0.389597235,0.127004634,0.0781098009999999,0.081834716,0.1299094519999999,BC-3,Y,Y,N,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,NPK76-II-72-1,-,PLK3,Cell cycle
BC-3,910918,219,219_910918,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.968081383,0.960476633,0.623720368,0.271962181,0.0378769179999999,0.035240274,0.036742804,0.036601211,0.033992061,BC-3,Y,Y,N,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,AT-7519,AT7519,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle
BC-3,910918,170,170_910918,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.972048279,0.991807428,0.908474157,0.770655442,0.119857591,0.011514381,0.006887485,0.007074023,0.006320309,BC-3,Y,Y,N,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,Shikonin,Anchusin,not defined,Other
BC-3,910918,273,273_910918,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.965768301,0.993379002,1.061931079,0.854541826,0.378516109,0.04362556,0.009601356,0.003626907,0.009669285,BC-3,Y,Y,N,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,CUDC-101,CUDC 101,"HDAC1-10, EGFR, ERBB2",Other
HCE-4,753559,200,200_753559,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.993338753,0.996476424,1.019668419,0.8760087520000001,0.526274565,0.259257576,0.077394697,0.017715957,0.011416994,HCE-4,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,Dacinostat,"NVP-LAQ824, LAQ824",HDAC1,Chromatin histone acetylation
EW-7,949160,200,200_949160,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.966161239,0.908310273,0.664090374,0.4332262679999999,0.275416396,0.087555442,0.034902417,0.026066574,0.023620097,EW-7,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent,Dacinostat,"NVP-LAQ824, LAQ824",HDAC1,Chromatin histone acetylation
EW-7,949160,308,308_949160,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.045291362,1.001295469,0.926560425,0.852572545,0.347845925,0.320346553,0.138184146,0.012220285,0.011135191,EW-7,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent,WIKI4,"WIKI-4, WIKI 4","TNKS1, TNKS2",WNT signaling
EW-7,949160,152,152_949160,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.048058109,0.98993679,0.953071198,0.872947558,0.692433282,0.479258554,0.1461627,0.022276556,0.00720545,EW-7,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent,CP466722,"CP-466722, CP 466722, 1080622-86-1",ATM,Genome integrity
EW-7,949160,273,273_949160,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.02024286,1.007598901,0.8063602679999999,0.728546183,0.52688299,0.284531587,0.076506611,0.0127295769999999,0.004576677,EW-7,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent,CUDC-101,CUDC 101,"HDAC1-10, EGFR, ERBB2",Other
SUP-B15,1247871,53,53_1247871,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.980265673,0.980415969,1.002651531,0.999439635,0.984173387,0.8489870740000001,0.503048611,0.044036932,0.009307262,SUP-B15,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,D/F12,Suspension,CGP-60474,"KIN001-019, CGP60474, CGP 60474","CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle
